Importance,Category,Task
96,Core,Gather financial documents related to investigations.
93,Core,Interview witnesses or suspects and take statements.
93,Core,Prepare written reports of investigation findings.
91,Core,Document all investigative activities.
90,Core,"Create and maintain logs, records, or databases of information about fraudulent activity."
88,Core,Coordinate investigative efforts with law enforcement officers and attorneys.
88,Core,"Lead, or participate in, fraud investigation teams."
86,Core,Testify in court regarding investigation findings.
84,Core,Prepare evidence for presentation in court.
82,Core,Recommend actions in fraud cases.
80,Core,Review reports of suspected fraud to determine need for further investigation.
80,Core,"Design, implement, or maintain fraud detection tools or procedures."
80,Core,"Analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures."
78,Core,Maintain knowledge of current events and trends in such areas as money laundering and criminal tools and techniques.
77,Core,Evaluate business operations to identify risk areas for fraud.
77,Core,"Conduct in-depth investigations of suspicious financial activity, such as suspected money-laundering efforts."
74,Core,Advise businesses or agencies on ways to improve fraud detection.
72,Core,Train others in fraud detection and prevention techniques.
71,Core,Conduct field surveillance to gather case-related information.
69,Core,Negotiate with responsible parties to arrange for recovery of losses due to fraud.
62,Core,Research or evaluate new technologies for use in fraud detection systems.
71,Supplemental,Obtain and serve subpoenas.
69,Supplemental,Arrest individuals to be charged with fraud.
